Sizes	Thresholds	Standard Dev
20	0.58800	0.03255
30	0.59202	0.03744
40	0.59638	0.02589
50	0.59165	0.02360
60	0.58816	0.02110
70	0.59257	0.01795
80	0.59008	0.02330
90	0.59088	0.01699
100	0.58983	0.01804
110	0.58995	0.01655
120	0.58965	0.01475
130	0.58881	0.01163
140	0.59405	0.01268
150	0.59319	0.01315
160	0.59181	0.01086
170	0.59437	0.01154
180	0.59372	0.01265
190	0.58986	0.00941
200	0.59350	0.00819
210	0.59372	0.00926
220	0.59295	0.01075
230	0.59298	0.00992
240	0.59161	0.00892
250	0.59146	0.00766
260	0.59050	0.00721
270	0.59248	0.00821
280	0.59246	0.00713
290	0.59332	0.00640
300	0.59478	0.00688
310	0.59267	0.00541
320	0.59246	0.00582
330	0.59251	0.00615
340	0.59152	0.00669
350	0.59421	0.00643
360	0.59220	0.00587
370	0.59290	0.00536
380	0.59343	0.00626
390	0.59230	0.00649
400	0.59271	0.00563
410	0.59235	0.00586
420	0.59227	0.00548
430	0.59251	0.00550
440	0.59317	0.00466
450	0.59344	0.00473
460	0.59301	0.00529
470	0.59263	0.00568
480	0.59335	0.00543
490	0.59232	0.00496
500	0.59279	0.00443
510	0.59259	0.00411
520	0.59268	0.00540
530	0.59337	0.00478
540	0.59252	0.00420
550	0.59277	0.00551
560	0.59253	0.00447
570	0.59384	0.00417
580	0.59327	0.00421
590	0.59221	0.00461
600	0.59184	0.00452
610	0.59299	0.00402
620	0.59287	0.00466
630	0.59208	0.00436
640	0.59330	0.00415
650	0.59291	0.00433
660	0.59340	0.00318
670	0.59189	0.00429
680	0.59268	0.00411
690	0.59364	0.00341
700	0.59352	0.00401
710	0.59317	0.00307
720	0.59181	0.00383
730	0.59322	0.00392
740	0.59244	0.00350
750	0.59250	0.00388
760	0.59266	0.00321
770	0.59278	0.00323
780	0.59238	0.00298
790	0.59338	0.00369
800	0.59334	0.00295
810	0.59350	0.00356
820	0.59302	0.00333
830	0.59263	0.00329
840	0.59308	0.00322
850	0.59237	0.00293
860	0.59356	0.00359
870	0.59208	0.00309
880	0.59351	0.00318
890	0.59223	0.00383
900	0.59303	0.00354
910	0.59221	0.00318
920	0.59253	0.00336
930	0.59306	0.00371
940	0.59237	0.00291
950	0.59331	0.00260
960	0.59208	0.00265
970	0.59252	0.00262
980	0.59247	0.00266
990	0.59166	0.00325
